date,value
ECS,208.4968974
ECS,160.5328879
FGH,292.3321976
LKJ,95.07969441
DER,251.6346499
ASD,4.723143097
TTL,221.3608926
FGH,257.5135771
PSD,256.6401961
LKJ,20.19655313
ECS,280.5287882
FGH,195.5122557
LKJ,177.9101782
LKJ,35.8381779
TTL,157.4465176
PSD,134.3793597
TTL,150.604782
ASD,-163.8499657
TTL,137.4253423
DER,142.7192938
PSD,180.7018929
LKJ,115.9725529
PSD,209.3638088
LKJ,67.84781771
ASD,175.231925
FGH,51.47799284
PSD,188.9962324
ASD,-48.35468425
TTL,169.423597
LKJ,-53.22055537
TTL,292.1632604
DER,136.4384768
FGH,321.5455618
PSD,53.06249276
FGH,340.8281495
FGH,130.9466336
FGH,286.8816131
ECS,176.4176712
LKJ,191.6883802
DER,150.0037128
ECS,197.7215175
DER,305.2651151
PSD,210.168763
DER,115.5839981
LKJ,175.7373095
PSD,116.9958817
LKJ,154.8568107
ASD,14.6993532
DER,198.5466972
PSD,74.15721631
ASD,114.734763
PSD,102.2094761
LKJ,177.7200953
FGH,135.5771092
FGH,262.2642028
DER,146.5137898
LKJ,157.1558524
FGH,100.7217744
PSD,215.9330216
LKJ,77.73977658
FGH,307.4118429
FGH,183.3339337
PSD,197.9264315
ASD,17.60508917
ASD,210.2650095
ASD,-61.72121173
ASD,114.4151786
FGH,137.0691326
ASD,196.452651
ASD,-93.70487623
ASD,94.04043151
FGH,243.9383793
LKJ,185.4923709
DER,86.83137214
TTL,189.7194604
PSD,107.6012989
TTL,111.3635375
ASD,-18.48801027
DER,284.114423
LKJ,25.03677561
DER,194.6109073
FGH,222.8485575
DER,269.0836685
TTL,42.56959913
FGH,263.6498678
FGH,141.9210707
ASD,108.4558658
ECS,136.6209948
LKJ,172.4753343
PSD,147.918509
LKJ,153.3322857
ECS,165.9668168
PSD,177.2947913
FGH,-74.31511032
FGH,335.3878377
PSD,87.78180299
DER,256.9765118
ECS,156.3968699
LKJ,187.2355674
ASD,26.95490135
ASD,205.3224574
ASD,-146.8977273
TTL,111.4247665
TTL,39.31960853
LKJ,165.4031941
DER,76.54635096
ECS,211.4411524
FGH,85.38760996
FGH,258.6304837
PSD,101.40771
FGH,319.3656086
PSD,48.89019215
ASD,185.5018042
FGH,44.27040391
LKJ,163.9139191
PSD,64.91277185
PSD,214.75898
ECS,95.95428713
TTL,152.1584732
DER,105.5137981
ECS,204.940937
FGH,168.8783255
TTL,109.6414378
ASD,8.294135496
ASD,170.1018831
DER,133.4457303
TTL,154.7432792
DER,115.9420248
TTL,161.6765493
DER,318.3716388
ECS,185.0529758
ASD,-25.0084555
LKJ,179.3206217
FGH,23.77085763
ASD,109.5537878
DER,104.5309686
LKJ,188.4592993
TTL,-42.71530849
LKJ,191.2920462
PSD,133.7938658
LKJ,159.0451771
FGH,178.4659497
LKJ,236.824034
DER,65.69920953
TTL,176.8594544
FGH,224.9232276
DER,353.1720826
ASD,-42.54134484
FGH,352.5103937
FGH,100.4976596
DER,262.7544883
LKJ,78.31221195
ASD,161.2249696
LKJ,77.25946692
FGH,320.1315855
ECS,147.2817322
FGH,257.4599337
TTL,69.08830619
LKJ,146.0831955
FGH,113.8032144
PSD,205.7691001
DER,117.1322359
TTL,130.8596499
ASD,1.95131609
DER,262.9490431
DER,34.79418313
TTL,101.7745406
PSD,49.77164944
DER,200.7904755
FGH,161.5282583
DER,216.4782181
ASD,-33.33688556
DER,235.903581
LKJ,77.52683993
ASD,109.03816
LKJ,46.23212288
FGH,334.8055355
FGH,-28.40462897
DER,259.6404954
ECS,146.3087239
FGH,377.0370575
TTL,26.75431767
FGH,263.8179041
LKJ,-16.58595091
PSD,225.6157298
FGH,-42.35546988
ECS,234.5228736
ASD,-38.9393706
PSD,211.1955424
LKJ,37.78872187
LKJ,186.3913279
DER,162.9298056
DER,326.0401303
FGH,244.4557295
ASD,121.3493094
ASD,-4.908452899
ECS,289.8393967
FGH,231.050691
ECS,185.6270916
DER,217.0400562
ECS,233.1733188
TTL,-108.585529
TTL,132.1325814
ECS,168.6266924
TTL,192.0853546
LKJ,46.22287178
PSD,192.0663673
TTL,-76.42243079
ASD,-166.2188619
TTL,50.57489598
TTL,161.6687837
ASD,11.57283366
ASD,176.3964678
FGH,67.80298236
FGH,225.2487353
FGH,132.5723879
ECS,276.3019917
PSD,124.5530979
DER,301.9152608
FGH,85.22160659
FGH,291.9140151
FGH,122.4231766
TTL,213.9817405
ECS,164.1858424
ASD,110.8755204
DER,-12.51757909
FGH,364.7130522
TTL,25.74815884
FGH,362.1798034
TTL,19.35952907
PSD,171.6071014
PSD,124.2586256
ECS,242.8487277
DER,149.2189275
TTL,153.4503189
TTL,30.03059153
TTL,140.9275416
ASD,-51.29477103
ECS,250.9379606
FGH,158.3533996
LKJ,130.182317
DER,138.7092058
FGH,253.3304494
FGH,144.9757234
ASD,178.5478547
ECS,72.20396078
ASD,553.9499109
FGH,219.5272559
LKJ,135.3017077
ASD,2.750346155
PSD,164.5810382
ASD,29.28765195
LKJ,171.8155041
ASD,-62.47847974
TTL,151.5809857
FGH,134.6323019
PSD,212.9892487
FGH,89.75102376
ECS,283.2522823
PSD,89.39028149
DER,278.4404473
ASD,-109.3304066
PSD,229.1511074
PSD,62.34497978
ECS,85.230187
PSD,100.4950058
TTL,200.2309017
PSD,76.72850604
ECS,229.9301867
LKJ,72.15344724
LKJ,195.0161825
PSD,94.87059541
TTL,157.0910643
DER,65.01399632
DER,297.1591558
LKJ,20.07084747
PSD,233.4660872
DER,216.3095206
TTL,170.52204
PSD,78.50367791
ECS,239.9552241
TTL,2.147629172
FGH,379.3151119
LKJ,51.57920743
ECS,261.4090462
LKJ,43.44942227
TTL,132.7226702
ECS,175.8934445
ECS,277.2232739
FGH,184.9889427
ASD,120.8580358
TTL,191.6720426
DER,187.6245982
FGH,179.1492148
PSD,157.2360451
DER,80.04527985
TTL,212.3687904
LKJ,24.00284469
ASD,114.4805217
TTL,-4.064305421
TTL,226.8353268
FGH,227.1109639
ECS,279.0223834
ASD,21.41081879
TTL,143.8646094
DER,158.1113357
LKJ,184.2694171
LKJ,59.4411768
ASD,150.9424472
FGH,227.4581954
DER,293.3287564
ECS,155.2869436
ASD,181.2817844
PSD,118.3508146
FGH,290.9272223
LKJ,-25.95669287
ECS,261.577609
DER,137.9238059
ASD,104.2415804
DER,110.8406592
LKJ,214.1830759
ECS,182.1599734
TTL,-80.82039329
PSD,80.93972737
ECS,233.3097023
ASD,-148.9825013
ASD,102.8203318
ASD,17.94859818
ECS,232.4654949
PSD,127.3053161
LKJ,189.5161067
TTL,52.03000927
ECS,266.2037164
DER,19.61896068
FGH,310.2054732
LKJ,95.51888317
FGH,565.7785986
TTL,49.75458286
TTL,165.5522385
TTL,46.2049385
LKJ,178.0625039
ASD,17.27953926
TTL,261.8950031
DER,143.8183958
ECS,250.1691319
ASD,25.95785178
ECS,179.6837376
ASD,-43.26549148
LKJ,151.4800229
ASD,-111.4736412
DER,233.9101271
DER,164.7412837
ASD,208.0000028
ASD,20.66494709
TTL,235.1549474
LKJ,35.52670759
ECS,228.8558584
PSD,67.91927028
ASD,514.1211521
FGH,137.5345718
TTL,137.2434424
LKJ,18.38698421
DER,188.2074573
LKJ,-27.98708345
ASD,196.0813888
ECS,156.5011947
PSD,164.2303054
DER,155.72949
ASD,188.3434843
DER,172.8608446
ASD,108.7538702
FGH,158.4953604
TTL,295.1204317
ECS,202.7568375
PSD,192.4999169
LKJ,70.87167826
FGH,434.4384007
FGH,14.89312532
ECS,282.049065
TTL,33.9431407
PSD,226.8977153
TTL,26.20327452
ASD,118.5680419
FGH,116.6038789
FGH,701.1076239
LKJ,18.20232892
ASD,97.88270558
TTL,-57.92522621
ECS,255.764516
ECS,54.52055825
PSD,206.9950256
FGH,222.5568434
PSD,209.7686251
ASD,10.84328606
LKJ,170.9119633
DER,178.7836109
DER,404.1838318
ECS,75.59836591
FGH,335.7867388
ECS,188.021937
LKJ,35.05881498
TTL,60.93804001
ASD,105.3636852
LKJ,45.08619354
PSD,182.6039742
LKJ,41.82386356
ASD,126.2237861
ECS,106.6725667
ASD,167.2021452
FGH,88.59645944
FGH,334.4911434
LKJ,124.9516826
FGH,308.8227928
DER,98.87445255
LKJ,127.9427486
FGH,139.3041594
TTL,144.5111193
LKJ,146.7772939
ASD,111.0311866
ECS,143.0060368
TTL,266.3802546
ASD,-56.52883643
TTL,165.2809079
PSD,76.76795913
FGH,357.0434218
ECS,39.42975856
DER,200.3437131
ASD,-7.375059038
FGH,402.6828173
PSD,138.1697845
TTL,133.987686
PSD,133.9946493
DER,419.2625726
ASD,-54.20342289
TTL,177.5902054
ASD,-5.268905046
ASD,110.6727969
DER,76.98892296
ECS,220.6703596
ECS,84.80589751
FGH,-133.7878417
DER,159.1013487
ASD,101.4781021
FGH,221.1297277
TTL,160.6555138
PSD,100.9936022
TTL,126.2748973
ECS,66.52701701
ASD,110.6464315
FGH,36.15946532
PSD,226.3014108
TTL,21.72055667
ECS,167.935579
LKJ,20.81132199
PSD,227.8543829
ASD,25.76979155
TTL,244.1586111
ECS,177.1136973
PSD,221.050831
PSD,110.4931264
ECS,223.5116122
PSD,122.060817
TTL,148.775981
DER,135.7563109
TTL,208.8947212
DER,131.5311888
LKJ,179.4150518
TTL,27.32787774
TTL,231.3493247
TTL,37.53502314
ASD,118.1465839
ECS,31.11532162
FGH,267.8910308
DER,102.2021658
TTL,193.4957639
PSD,63.44883985
ECS,261.3125672
ECS,33.74883377
PSD,195.3846233
DER,83.74423595
FGH,484.2443322
ASD,-38.29618771
TTL,147.840383
ASD,1.485343235
LKJ,165.556157
PSD,144.0741205
DER,403.9901334
ASD,2.132530501
DER,350.3402704
TTL,-25.94177964
ECS,240.3780517
LKJ,41.14205171
FGH,35.363135
FGH,113.1600897
ECS,168.8637489
ASD,-25.96838117
TTL,125.7448262
ASD,-133.4504018
PSD,165.2567402
TTL,39.80787742
